TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-04-21 17:53:36.981,0.84062153,0.5994866,0.47008854,0.6241719,0.33690718,0.0020456025,0.20594816,0.16028228,0.5406738,0.27547544,0.29659906,0.36745188,0.41779777,-0.18871695,-0.100077905,0.1984888,-0.035361074,-0.7844555,-0.6414748,-0.030063909,834.0659,849.7802,834.87177,836.08057,840.5128,0.4505615234375,0.193359375,0.865966796875,3.529052734375,8.83758544921875,14.198455810546875,1,1.0,1.0,1.0,1.0,95.53
2018-04-21 17:53:38.009,1.3198225,1.1796697,1.6105582,1.1706795,0.6033682,0.3033059,0.28686118,0.46880528,0.83432716,0.5150315,0.11527175,0.52087325,0.59994847,-0.25350368,-0.17940643,0.23587126,0.051902983,-0.6008802,-0.72409,0.05168667,767.5824,801.4286,865.09155,780.07324,828.022,0.416259765625,0.86669921875,0.636962890625,83.5308837890625,110.01373291015625,-48.73382568359375,1,1.0,1.0,1.0,1.0,95.53
2018-04-21 17:53:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:39.050,1.5955641,1.9669757,2.1405194,1.5000827,0.89879894,0.72600156,1.0143502,0.60494894,0.697997,0.61748326,0.9078116,0.43711668,0.8001237,0.05636658,0.083916746,0.28387672,0.1470521,-0.41257617,-0.5732494,0.05940423,862.27106,850.58606,897.326,854.21246,881.6117,0.86004638671875,-0.10504150390625,0.5137939453125,87.73284912109375,-47.95623779296875,-28.419342041015625,1,1.0,1.0,1.0,1.0,95.53
2018-04-21 17:53:40.068,1.5955641,1.8853652,2.11532,1.5000827,0.89879894,0.6433744,1.1360983,0.60494894,0.697997,0.49849665,0.9410878,0.43711668,0.8001237,0.15000543,0.15070973,0.28387672,0.1470521,-0.37952468,-0.47778448,0.05940423,825.6044,875.56775,831.2454,847.76556,840.10986,-0.19537353515625,0.23931884765625,0.85076904296875,-80.88409423828125,-65.69869995117188,-43.91876220703125,1,1.0,1.0,1.0,1.0,95.53
2018-04-21 17:53:41.090,1.5955641,1.7539701,1.9300177,2.0676136,0.89879894,0.5812929,1.0877285,1.0592932,0.697997,0.4492524,0.69519025,0.6397334,0.8001237,0.11063008,0.20299746,0.7284613,0.1470521,-0.357387,-0.6003866,0.27335915,894.90845,809.4872,801.4286,969.85345,784.90845,0.25927734375,1.13934326171875,0.4498291015625,6.4599609375,140.37704467773438,-56.173248291015625,1,1.0,1.0,1.0,1.0,95.48
2018-04-21 17:53:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:42.092,1.5955641,1.8929118,1.969384,2.037029,0.89879894,0.66941,1.0532414,0.9947996,0.697997,0.4904621,0.5198744,0.48183647,0.8001237,-0.019937465,-0.0018503207,0.7100827,0.1470521,-0.5398921,-0.5916319,0.26302266,747.4359,836.4835,876.77655,815.9341,898.1319,0.5732421875,-0.12286376953125,0.7154541015625,93.04885864257812,-59.851837158203125,-23.230438232421875,1,1.0,1.0,1.0,1.0,95.48
2018-04-21 17:53:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
