TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-04-21 17:52:53.476,1.2084588,0.2198355,-0.093561746,0.28622085,0.5836198,-0.3719466,-0.7079739,0.13468333,0.84129554,-0.15361448,-0.0044326037,0.44576794,0.4250709,-0.29036042,-0.36402714,0.1609898,0.042105876,-0.46214157,-0.50434667,-0.19367011,831.2454,850.989,850.989,839.304,855.42126,0.39581298828125,0.129638671875,0.9072265625,-2.295379638671875,3.94775390625,0.1495361328125,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:54.485,0.8638044,0.04787457,-0.15394656,0.82317615,0.6173902,-0.287143,-0.40782532,0.54910564,0.91000426,-0.1464374,0.0032516627,0.8516088,0.48004982,-0.20935012,-0.27030504,0.22999342,-0.117814116,-0.6392149,-0.46050683,0.0074315034,831.6484,854.21246,847.76556,833.2601,849.3773,0.470458984375,0.3358154296875,0.8909912109375,13.675079345703125,11.282501220703125,1.577606201171875,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:55.487,1.4666722,1.029295,1.2256393,1.2622415,1.0999569,0.32848373,0.22471114,0.8735789,0.922187,0.3957637,0.21516915,1.0439866,0.6819923,-0.10609246,-0.06151,0.5675855,0.083133005,-0.50580436,-0.4524706,0.15030648,856.2271,836.4835,858.6447,846.55676,857.8388,0.43499755859375,0.14825439453125,0.85089111328125,5.899200439453125,-7.357177734375,-44.561767578125,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:56.493,1.8228791,1.4159616,1.5111401,1.4508967,1.2148618,0.32073823,0.34061283,0.83974636,0.86831063,0.40745035,0.2927359,1.1033608,0.7795021,-0.17693898,-0.051601898,0.7564657,0.16006587,-0.5625603,-0.5127485,0.3550146,865.09155,865.89746,834.4689,837.28937,826.4103,0.341796875,0.3055419921875,0.90887451171875,-16.13494873046875,10.011444091796875,69.10812377929688,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:57.500,1.8228791,1.4513539,1.2433232,1.5200706,1.2148618,0.5472322,0.22808771,0.9958258,0.86831063,0.46141848,0.25029883,0.7580524,0.7795021,-0.05448367,-0.0894864,0.78148764,0.16006587,-0.57706195,-0.5945356,0.3966262,735.7509,852.6007,863.0769,811.9048,741.79486,0.29437255859375,-0.044921875,0.819091796875,-2.2430419921875,-21.48834228515625,-70.55862426757812,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:58.516,1.8228791,1.6749167,1.3764092,1.6221731,1.2148618,0.8742498,0.26909176,1.1386441,0.86831063,0.38445735,0.19772819,0.7158349,0.7795021,0.05288809,-0.106066845,0.8124229,0.16006587,-0.40594512,-0.5622593,0.37374485,1204.762,842.1245,820.7692,1116.1172,1064.1392,0.16680908203125,0.73834228515625,0.89971923828125,-52.165679931640625,-82.85797119140625,-244.91775512695312,1,1.0,1.0,1.0,1.0,95.73
2018-04-21 17:52:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:59.521,1.8228791,1.3125776,1.7080686,1.6221731,1.2148618,1.3637351,1.1568452,1.1386441,0.86831063,0.65008616,0.8966181,0.7158349,0.7795021,0.10238485,-0.053388346,0.8124229,0.16006587,-0.323953,-0.7451066,0.37374485,895.31134,855.42126,848.5714,889.67035,864.68866,0.49530029296875,0.2254638671875,0.832763671875,-6.527252197265625,0.91217041015625,16.01531982421875,1,2.0,1.0,1.0,2.0,95.73
2018-04-21 17:52:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:52:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:00.548,1.8228791,1.1841441,1.5049757,1.6221731,1.2148618,0.85797656,0.51193136,1.1386441,0.86831063,0.22850241,0.2798781,0.7158349,0.7795021,-0.054917175,-0.2658703,0.8124229,0.16006587,-0.55012333,-0.7194522,0.37374485,820.3663,907.8022,801.02563,840.10986,926.337,-0.03985595703125,0.54351806640625,0.96771240234375,-20.69580078125,-37.092437744140625,-180.73684692382812,1,2.0,1.0,1.0,2.0,95.73
2018-04-21 17:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:01.566,1.8228791,1.6379215,1.7313699,1.6221731,1.2148618,0.481213,0.68916756,1.1386441,0.86831063,0.45554036,0.6262944,0.7158349,0.7795021,0.06247848,0.020369237,0.8124229,0.16006587,-0.36347285,-0.4546695,0.37374485,811.0989,835.2747,860.2564,838.9011,836.08057,0.0380859375,0.13897705078125,1.03887939453125,12.7105712890625,2.27294921875,-27.454833984375,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:02.578,1.8228791,1.2297008,1.3377503,1.6221731,1.2148618,0.11817373,0.30436802,1.1386441,0.86831063,0.45750397,0.6262944,0.7158349,0.7795021,-0.28134298,-0.16286765,0.8124229,0.16006587,-0.48387676,-0.56767446,0.37374485,903.7729,842.52747,846.1539,896.52014,867.9121,0.05194091796875,0.0821533203125,1.1024169921875,-9.817047119140625,6.048736572265625,12.134857177734375,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:03.599,1.8228791,0.6087362,0.27865845,1.6221731,1.2148618,-0.2594379,-0.28558582,1.1386441,0.86831063,-0.14983559,0.13429545,0.7158349,0.7795021,-0.50500596,-0.53573674,0.8124229,0.16006587,-0.6513498,-0.6902647,0.37374485,862.27106,840.5128,841.31866,824.7985,782.8938,0.3441162109375,0.15594482421875,0.9658203125,-5.674896240234375,-4.90478515625,12.299346923828125,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:04.601,1.8228791,0.7363738,0.42146254,1.6221731,1.2148618,0.032164842,-0.15635662,1.1386441,0.86831063,0.338078,0.15931,0.7158349,0.7795021,-0.43172967,-0.46592617,0.8124229,0.16006587,-0.61304283,-0.72412854,0.37374485,861.4652,848.97437,837.6923,858.6447,847.3626,-0.11553955078125,-0.05694580078125,0.9996337890625,4.508514404296875,6.108551025390625,15.89569091796875,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:05.629,1.8228791,0.5780718,0.4609547,1.6221731,1.2148618,-0.03201717,-0.5388733,1.1386441,0.86831063,0.34545478,0.13338722,0.7158349,0.7795021,-0.37385648,-0.2964029,0.8124229,0.16006587,-0.66306746,-0.42581016,0.37374485,834.4689,857.03296,840.9158,834.4689,806.6667,0.36029052734375,0.16937255859375,0.95806884765625,0.366363525390625,-10.03387451171875,22.37060546875,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:06.641,1.8228791,0.42705292,0.88556165,1.52923,1.2148618,-0.27133167,-0.32945365,1.0433637,0.86831063,-0.01762714,-0.030972078,0.7812272,0.7795021,-0.3032524,-0.35444924,0.12759256,0.16006587,-0.5155998,-0.44665173,-0.24626291,858.24176,846.55676,863.8828,843.73627,838.49817,0.60675048828125,0.02490234375,0.786865234375,5.929107666015625,-4.29168701171875,-1.398162841796875,1,2.0,1.0,1.0,2.0,95.69
2018-04-21 17:53:07.663,1.8228791,0.64865977,1.0920149,1.722635,1.2148618,0.54112285,1.0216339,0.9327916,0.86831063,0.8897116,1.1545045,0.919376,0.7795021,-0.035460256,-0.21186423,0.31615454,0.16006587,-0.62281203,-0.70559216,-0.10120558,726.08057,844.1392,857.03296,764.7619,850.18317,0.555908203125,0.09552001953125,0.79913330078125,6.2506103515625,12.045135498046875,-9.52545166015625,1,1.0,1.0,1.0,1.0,95.69
2018-04-21 17:53:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-04-21 17:53:08.668,1.8228791,0.8783789,0.98052144,1.8438694,1.2148618,0.77944565,1.1492832,0.7506262,0.86831063,0.89186233,1.1594923,0.88360137,0.7795021,0.0021067578,-0.13000192,0.48205268,0.16006587,-0.77455556,-0.81012505,0.02665409,939.6337,810.696,829.2308,940.0366,926.7399,0.17218017578125,0.27874755859375,1.0992431640625,39.22332763671875,33.922271728515625,146.007080078125,1,1.0,1.0,1.0,1.0,95.69
